Razão Social;Nome de Pregão;Código
ATMA PARTICIPAÇÕES S.A.;ATMASA;ATMP
ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;ATOMPAR;ATOM
ATRIUM EMPREENDIMENTOS IMOBILIARIOS S/A;ATRIUMEMP;ATRM
ATTEND AMBIENTAL S.A.;ATTEND;ATAM
ATVOS AGROINDUSTRIAL PARTICIPACOES SA;ATVOSAGRO;ATVS
AUCKLAND PARTICIPACOES S.A.;AUCKLAND;AUCK
AURA ALMAS MINERAÇÃO S.A.;AURAALMASMIN;AALM
AURA MINERALS INC.;AURA 360;AURA
AURATUS EMPREENDIMENTOS IMOBILIARIOS S/A;AURATUS;AURT
AUREN ENERGIA S.A.;AUREN;AURE
AUTO RICCI S.A.;AUTORICCI;RICI
AUTOGERACAO SOLAR HOLDING S.A.;AUTOGERACAO;ASHS
AUTOPASS S.A.;AUTOPASS S/A;AUUT
AUTOSTRADE CONCESSOES E PARTICIPAÇÕES BRASIL LTDA.;AUTOSTRADE;ATRD
AZEVEDO E TRAVASSOS S.A.;AZEVEDO;AZEV
AZUL LINHAS AEREAS BRASILEIRAS S.A.;AZULAEREAS;AZLA
AZUL S.A.;AZUL;AZUL
B3 S.A. - BRASIL. BOLSA. BALCÃO;B3;B3SA
BABILONIA HOLDING S.A.;BABILONIA;BBLN
BAHEMA EDUCAÇÃO RJ LTDA;BAHEMAEDU RJ;BAHR
BAHEMA EDUCAÇÃO S.A.;BAHEMA;BAHI
BAHIA PCH I S/A;BAHIAPCH;PCHB
BANCO BOCOM BBM S/A;BOCOMBBMBM;BBHI
BANCO A.J.RENNER S/A;AJRENNERBM;BAJR
BANCO ABN AMRO S.A.;ABNBM;BCRD
BANCO AGIBANK S.A.;AGIBANKBC;AGBK
BANCO ANDBANK (BRASIL) S/A;ANDBANKBM;LMON
BANCO B3 S.A.;BCOB3BC;BBMF
BANCO BANDEPE S/A;BANDEPEBM;BDEP
BANCO BMG S.A.;BANCO BMG;BMGB
BANCO BRADESCARD S.A.;BRADESCARDBM;BIBI
BANCO BRADESCO CARTOES S/A;BRADCARBM;IAME
BANCO BRADESCO FINANCIAMENTOS S/A;BRADESCOFINA;ZYQZ
BANCO CAIXA GERAL BRASIL S/A;CAIXAGERALBM;BCXG
BANCO CAPITAL S/A;CAPITALBM;BCAP
BANCO CARGILL S/A;CARGILLBM;BCGL
BANCO CATERPILLAR S/A;CATERPILLARB;CTPL
BANCO CBSS S.A.;CBSSBM;ITAM
BANCO CETELEM S/A;BCOCETELEMBM;BBGN
BANCO CIFRA S/A;CIFRABM;BGEC
BANCO CITIBANK S/A;CITIBM;CITI
BANCO CLASSICO S/A;CLASSICOBM;CLAS
BANCO CNH INDUSTRIAL CAPITAL S/A;CNHCAPITALBM;CNHC
BANCO COOPERATIVO SICREDI S/A;SICREDIBM;SCDI
BANCO CREDIT AGRICOLE BRASIL S/A;AGRICOLEBM;BCLB
BANCO CREFISA S.A.;CREFISABC;BPNB
BANCO CSF S/A;CSFBM;BCSF
BANCO DA CHINA BRASIL S/A;CHINABM;BCHN
BANCO DE INVESTIMENTOS CREDIT SUISSE BRASIL S/A;SUISSEBI;BIFB
BANCO DE LA NACION ARGENTINA;LANACIONARGE;BNAR
BANCO DE LAGE LANDEN BRASIL S/A;LAGEBM;LAGE
BANCO FATOR S/A;FATORBM;FTOR
BANCO FIBRA S/A;FIBRABM;BFIB
BANCO FICSA S/A;FICSABM;FICS
BANCO FIDIS S/A;BANCOFIDISBM;BFIA
BANCO FORD S/A;FORDBM;BFRD
BANCO GMAC S.A.;GMACBM;BCGM
BANCO GUANABARA S/A;GUANABARABM;GNBR
BANCO HONDA S/A;HONDABM;BCHD
BANCO IBM S/A;IBMBM;IBML
BANCO INBURSA S/A;INBURSABM;BSTD
BANCO ITAU CONSIGNADO S/A;ITAUCONSBM;BNRJ
BANCO ITAU VEICULOS S/A;ITAUVEICULOS;BCFT
BANCO ITAU-BBA S/A;BBABM;ITBB
BANCO ITAUCARD S/A;ITAUCARDBM;ITAC
BANCO ITAUCRED FINANCIAMENTOS S/A;ITAUCREDBM;FNTC
BANCO J. SAFRA S/A;JSAFRABM;SAFR
BANCO J.P. MORGAN S/A;JPMORGANBM;JPMG
BANCO KEB HANA DO BRASIL S/A;KEBBC;BKEB
BANCO LOSANGO S/A - BM;LOSANGOBM;HSBI
BANCO LUSO BRASILEIRO S/A;LUSOBRASILEI;LUSO
BANCO MAXIMA S/A;MAXIMABC;BMXM
BANCO MERCEDES BENZ DO BRASIL S/A;MERCEDESBBM;DCLS
BANCO MIZUHO DO BRASIL S.A.;MIZUHOBM;WTLB
BANCO MODAL S.A;MODALMAIS;MODL
BANCO MORGAN STANLEY S.A.;MORGANSTANLE;MSDW
BANCO MUFG BRASIL S.A.;MUFGBM;BTMB
BANCO OLE BONSUCESSO CONSIGNADO S.A;BONSUCESSOCO;BNSC
BANCO ORIGINAL DO AGRONEGOCIO S/A;ORIGINALAGRO;JBSB
BANCO ORIGINAL S/A;ORIGINALBM;BMTN
BANCO OURINVEST S.A.;OURINVESTBM;ORIV
BANCO PSA FINANCE BRASIL S/A;PSAFINANCEBM;BPSA
BANCO RABOBANK INTERNATIONAL BRASIL S/A;RABOBANKBM;RBBK
BANCO RENDIMENTO S.A.;RENDIMENTOBC;REND
BANCO RODOBENS S/A;RODOBENSBM;BRED
BANCO SAFRA S/A;SAFRABM;BSAF
BANCO SEMEAR S/A;SEMEARBM;EBLM
BANCO SISTEMA S/A;BCOSISTEMABM;BBRA
BANCO SUMITOMO MITSUI BRASILEIRO S/A;SUMITOMOBM;SMTM
BANCO TOPAZIO S/A;TOPAZIOBM;TPZB
BANCO TOYOTA DO BRASIL S/A;BCOTOYOTABM;BTOY
BANCO TRICURY S/A;TRICURYBM;TCRY
BANCO VIPAL S/A;VIPALBM;VIPL
BANCO VOLVO BRASIL S/A;VOLVOBM;BVLV
BANCO VR S/A;VRBM;BCVR
BANCO YAMAHA MOTOR DO BRASIL S/A;YAMAHABM;YAHA
BANDA DE COURO ENERGETICA S/A;BANDADECOURO;BNDC
BANESTES S.A. - BCO EST ESPIRITO SANTO;BANESTES;BEES
BANK OF AMERICA MERRILL LYNCH BANCO MULTIPLO S/A;MERRILLLYNCH;BMLI
BARAO DE TEFE SPE EMPREENDIMENTOS IMOBILIARIOS S.A;TEFE;TFSP
BARAUNAS II ENERGETICA S/A;BARAUNASII;BREG
BARCAS S.A. - TRANSPORTES MARITIMOS;BARCAS;BRCA
BARDELLA S.A. INDUSTRIAS MECANICAS;BARDELLA;BDLL
BARIGUI COMPANHIA HIPOTECARIA;BARIGUICH;BRGU
BAUMER S.A.;BAUMER;BALM
BAUMINAS LOG E TRANSPORTES S.A;BAUMINASLOG;BMNS
BB LEASING S/A ARREND MERCANTIL;BBAM;BRLS
BB SEGURIDADE PARTICIPAÇÕES S.A.;BBSEGURIDADE;BBSE
BBM DB INCORPORACAO S. A.;DBSA;BBMD
BBM LOGISTICA S.A.;BBMLOGISTICA;BBML
BBN BANCO BRASILEIRO DE NEGOCIOS S/A;BBNEGBM;CCDB
BBO PARTICIPACOES S/A;BBOSA;BBOP
BCLV COMERCIO DE VEICULOS S.A.;BCLV;BCLV
BCO ABC BRASIL S.A.;ABC BRASIL;ABCB
BCO ALFA DE INVESTIMENTO S.A.;ALFA INVEST;BRIV
BCO AMAZONIA S.A.;AMAZONIA;BAZA
BCO BRADESCO S.A.;BRADESCO;BBDC
BCO BRASIL S.A.;BRASIL;BBAS
BCO BTG PACTUAL S.A.;BTGP BANCO;BPAC
BCO CEDULA S/A.;CEDULA;CEFI
BCO ESTADO DE SERGIPE S.A. - BANESE;BANESE;BGIP
BCO ESTADO DO PARA S.A.;BANPARA;BPAR
BCO ESTADO DO RIO GRANDE DO SUL S.A.;BANRISUL;BRSR
BCO INTERCAP S/A;INTERCAPBM;ITCP
BCO MAXINVEST S.A;MAXINVESTBM;BMAX
BCO MERCANTIL DE INVESTIMENTOS S.A.;MERC INVEST;BMIN
BCO MERCANTIL DO BRASIL S.A.;MERC BRASIL;BMEB
BCO NORDESTE DO BRASIL S.A.;NORD BRASIL;BNBR
BCO PAN S.A.;BANCO PAN;BPAN
BCO PINE S.A.;PINE;PINE
BCO RIBEIRAO PRETO S/A;RIBEIRAOPRET;RBPT
BCO SANTANDER (BRASIL) S.A.;SANTANDER BR;SANB
BCO SOFISA S.A.;SOFISABM;SFSA
BCO VOLKSWAGEN S/A;VOLKSWAGENBM;BVKW
BCO VOTORANTIM S/A;VOTORANTIMBM;ZXSZ
BCV - BANCO DE CREDITO E VAREJO S/A;BCVBM;SCHI
BDWPART HOLDING E PARTICIPAÇÕES S.A;BDWPART HOLD;BDWP
BEACH PARK HOTEIS E TURISMO S/A;BEACH PARK;BEPK
BELA LUNA EMPREENDIMENTOS IMOBILIARIOS S/A;BELA LUNA;BELE
BELAGRICOLA COMERCIO E REPRESENTACOES DE PRODUTOS;BELAGRICOLA;BELA
BELEM BIOENERGIA BRASIL S/A;BELEMBIO;BBIO
BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.;BELOMONTE;BLMN
BEMOBI MOBILE TECH S.A.;BEMOBI TECH;BMOB
BEMOL S.A.;BEMOL S.A.;BMOL
BERGAMO COMÉRCIO LTDA.;BERGAMOCOMER;BRGM
BEST CENTER EMPREENDIMENTOS E PARTICIPACOES S.A.;BEST CENTER;BCEN
BETANIA LACTEOS S.A.;BETANIA LACT;CBLT
BETAPART PARTICIPACOES S.A.;BETAPART;BETP
BHG S.A. - BRAZIL HOSPITALITY GROUP;BHGSA;BHGR
BICICLETAS MONARK S.A.;BIC MONARK;BMKS
BINGEN SECURITIZADORA S/A;BINGENSEC;BGEN
BIOENERGETICA VALE DO PARACATU S/A.;BIOPARACATU;BION
BIOFLEX AGROINDUSTRIAL S.A.;BIOFLEX;BFLE
BIOMM S.A.;BIOMM;BIOM
BIOSEV BIOENERGIA S/A;BIOSEVDIS;LDCS
BIZCAPITAL COMPANHIA SECURITIZADORA DE CREDITOS FI;BIZCAPITAL;BIZC
BLAU FARMACÊUTICA S.A.;BLAU;BLAU
BLOCK FINANCIAL HOLDINGS DO BRASIL S.A.;BLOCK FINANC;BLOC
BLUE TECH SOLUTIONS E.Q.I. S;B TECH EQI;BLUT
